market,side,action,qty,entry_price,exit_price,pnl,bankroll,ts,won
KXBTC15M-26JAN102315-15,yes,sell_fill,18,0.1,0.4,5.32,1570.3300000000074,1768104120.0,
KXBTC15M-26JAN110000-00,yes,buy_fill,28,0.1,,-2.85,1567.4800000000075,1768106760.0,
KXBTC15M-26JAN110000-00,yes,sell_fill,28,0.1,0.4,8.280000000000003,1578.5600000000074,1768106820.0,
KXBTC15M-26JAN110130-30,yes,buy_fill,1,0.1,,-0.11,1578.4500000000075,1768112160.0,
KXBTC15M-26JAN110130-30,yes,sell_fill,1,0.1,0.4,0.29000000000000004,1578.8400000000076,1768112220.0,
KXBTC15M-26JAN110200-00,yes,buy_fill,1,0.1,,-0.11,1578.7300000000077,1768113960.0,
KXBTC15M-26JAN110200-00,yes,sell_fill,1,0.1,0.4,0.29000000000000004,1579.1200000000078,1768114020.0,
KXBTC15M-26JAN110215-15,yes,buy_fill,8,0.1,,-0.8200000000000001,1578.300000000008,1768114860.0,
KXBTC15M-26JAN110215-15,yes,sell_fill,8,0.1,0.4,2.3600000000000003,1581.460000000008,1768114920.0,
KXBTC15M-26JAN110345-45,no,buy_fill,119,0.1,,-12.09,1569.370000000008,1768120380.0,
KXBTC15M-26JAN110345-45,no,sell_fill,72,0.1,0.4,21.290000000000003,1597.860000000008,1768120440.0,
KXBTC15M-26JAN110345-45,no,sell_fill,47,0.1,0.4,13.900000000000002,1616.460000000008,1768120800.0,
KXBTC15M-26JAN110600-00,no,buy_fill,10,0.1,,-1.02,1615.440000000008,1768128360.0,
KXBTC15M-26JAN110600-00,no,sell_fill,10,0.1,0.4,2.9500000000000006,1619.390000000008,1768128420.0,
KXBTC15M-26JAN110800-00,no,buy_fill,85,0.1,,-8.64,1610.750000000008,1768135680.0,
KXBTC15M-26JAN110800-00,no,buy_fill,32,0.1,,-3.2600000000000002,1607.490000000008,1768135740.0,
KXBTC15M-26JAN110800-00,no,settlement,117,0.09999999999999999,0.0,-11.7,1607.490000000008,,False
KXBTC15M-26JAN110815-15,no,buy_fill,1,0.1,,-0.11,1607.380000000008,1768136460.0,
KXBTC15M-26JAN110815-15,no,sell_fill,1,0.1,0.4,0.29000000000000004,1607.7700000000082,1768136520.0,
KXBTC15M-26JAN111100-00,no,buy_fill,5,0.1,,-0.51,1607.2600000000082,1768146360.0,
KXBTC15M-26JAN111100-00,no,sell_fill,5,0.1,0.4,1.4700000000000002,1609.2300000000082,1768146420.0,
KXBTC15M-26JAN111115-15,no,buy_fill,37,0.1,,-3.7600000000000002,1605.4700000000082,1768147260.0,
KXBTC15M-26JAN111115-15,no,settlement,37,0.1,0.0,-3.7,1605.4700000000082,,False
KXBTC15M-26JAN111130-30,no,buy_fill,5,0.1,,-0.51,1604.9600000000082,1768148160.0,
KXBTC15M-26JAN111130-30,no,sell_fill,5,0.1,0.4,1.4700000000000002,1606.9300000000082,1768148220.0,
